ObjectID,GlobalID,Sonde ID,Other SondeID,Discrete or Continuous Deployment,Pre- or Post-Deployment,Deployment Start/Stop Time,Calibration Date and Time,Verification Instruments,Which Turbidity standard?,Lot #,Expiration Date,Open Date,Turbidity Standard concentration,Lot #,Expiration Date,Open Date,Which SPC standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,SpC Standard concentration,Lot #,Expiration Date,Open Date,Which pH standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Which Rhodamine standard?,Lot #,Expiration Date,Open Date,Which fDOM standard?,Lot #,Expiration Date,Open Date,Specific Conductivity in Air,fDOM in DI (pre-cal),fDOM in DI (post-cal),fDOM in 300 QSU (pre-cal),fDOM in 300 QSU (post-cal),Chl in DI (pre-cal),Chl in DI (post-cal),Chl in rhodamine (pre-cal),Chl in rhodamine (post-cal),PC in DI (pre-cal),PC in DI (post-cal),PC in rhodamine (pre-cal),PC in rhodamine (post-cal),Turbidity in DI (pre-cal),Turbidity in DI (post-cal),Turbidity in standard (pre-cal),Turbidity in standard (post-cal),SpC in standard (pre-cal),SpC in standard (post-cal),SpC cell constant,pH in 7 (pre-cal),pH in 7 (post-cal),pH in 7 voltage,pH in 10 (pre-cal),pH in 10 (post-cal),pH in 10 voltage,pH in 4 (pre-cal),pH in 4 (post-cal),pH in 4 voltage,Delta slope (4 to 7),Delta slope (4 to 7),Delta slope (7 to 10),Delta slope (7 to 10),Temperature (NIST),Temperature (sonde),DO (pre-cal),DO (post-cal),DO (concentration post-cal),DO gain,Temperature during DO calibration,Pressure from handheld,Pressure from barometer,CreationDate,Creator,EditDate,Editor,Notes,x,y
1,af9dc39f-ad51-4fce-8526-828fc07a3450,19C101552,,Continuous,Pre,11/30/2021 8:06:00 PM,11/29/2021 8:26:00 PM,Turbidimeter,turb_other,,,,124.8,A1194,7/1/2023 7:00:00 PM,11/29/2021 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413B - DWR 28698,12/1/2022 7:00:00 PM,11/29/2021 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.08,0,,,0,0,,,-0.38,0,,,-0.03,0,124.8,124.7,1394.2,1413,,,,,,,,,,,,,,,,,101.8,100.5,,,,763.5,,7/5/2023 4:52:31 PM,cdfw_frpmt,7/6/2023 8:24:42 PM,cdfw_frpmt,Factory reset of PC sensor (RFU channel),0,0
2,2495db73-6c03-447a-8121-867348d3acab,19C101551,,Continuous,Pre,12/30/2021 5:05:00 PM,12/29/2021 7:14:00 PM,Turbidimeter,turb_other,,,,101,A1194,7/1/2023 7:00:00 PM,12/29/2021 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,12/29/2021 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.04,0,,,0,0,,,-0.01,0,,,0.06,0,101.3,101.01,1422.8,1413,,,,,,,,,,,,,,,,,101.1,99.4,,1.04,,754.8,,7/5/2023 5:09:14 PM,cdfw_frpmt,7/6/2023 8:26:54 PM,cdfw_frpmt,,0,0
3,6932f6a4-5dde-40d6-81e6-84caec743fc0,19C101552,,Continuous,Post,1/27/2022 4:59:00 PM,1/28/2022 12:22:00 AM,Turbidimeter,turb_other,,,,97.46,A1194,7/1/2023 7:00:00 PM,1/27/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.09,0,,,0.04,0,,,-0.16,0,,,-0.19,,,,1420.1,1413,,,,,,,,,,,,,,,,,101.3,100.7,,1.01,,765.7,,7/5/2023 8:31:46 PM,cdfw_frpmt,7/6/2023 8:27:26 PM,cdfw_frpmt,Did not have wiper brush on; Accidentally performed zero-point calibration with turbidity first - after was 0.00/0.01 and 99.26/97.47,0,0
4,5aee6612-bca8-446f-824c-d008225d64f9,19C101551,,Continuous,Post,1/27/2022 6:29:00 PM,1/27/2022 11:50:00 PM,Turbidimeter,turb_other,,,,97.46,A1194,7/1/2023 7:00:00 PM,1/27/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.03,0,,,-0.02,0,,,-0.03,0,,,-0.15,0,97.68,97.45,1412,1413,,,,,,,,,,,,,,,,,99.9,100,,1.04,,765.7,,7/5/2023 8:38:40 PM,cdfw_frpmt,7/5/2023 10:11:06 PM,cdfw_frpmt,,0,0
5,1661beaa-6f86-4c7c-8a12-c1a7f0d8e06a,19C101554,,Continuous,Pre,1/27/2022 7:06:00 PM,1/26/2022 6:09:00 PM,Turbidimeter,turb_other,,,,102.1,A1194,7/1/2023 7:00:00 PM,1/26/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.02,0,,,-0.01,0,,,-0.03,0,,,-0.03,0,101.48,102.11,1408.8,1413,,,,,,,,,,,,,,,,,100.4,100.7,,1.05,,765.9,,7/5/2023 8:46:02 PM,cdfw_frpmt,7/5/2023 10:12:09 PM,cdfw_frpmt,,0,0
6,07bee338-000a-474d-8625-5523c10e28ae,19C101553,,Continuous,Pre,1/27/2022 5:01:00 PM,1/26/2022 5:51:00 PM,Turbidimeter,turb_other,,,,102.1,A1194,7/1/2023 7:00:00 PM,1/26/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.11,0,,,0.02,0,,,0.01,0,,,-0.06,0,102.83,102.09,1412.9,1413,,,,,,,,,,,,,,,,,99.9,100.7,,1.03,,765.9,,7/5/2023 8:53:13 PM,cdfw_frpmt,7/5/2023 10:12:33 PM,cdfw_frpmt,,0,0
7,56dc2512-06f7-4b53-8724-002e0af79896,19C101552,,Continuous,Pre,3/1/2022 9:15:00 PM,3/1/2022 12:50:00 AM,Turbidimeter,turb_other,,,,106,A1194,7/1/2023 7:00:00 PM,2/28/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.04,0,,,-0.03,0,,,0.03,0,,,0.14,0,106.13,105.99,1361.2,1413,,,,,,,,,,,,,,,,,100.7,100.9,,1.01,,765,,7/5/2023 9:00:18 PM,cdfw_frpmt,7/6/2023 8:19:40 PM,cdfw_frpmt,SPC channel was factory reset (was 1420 like previous calibration),0,0
8,f2ba3d76-6587-4caf-8f29-d3d096ef8918,19C101551,,Continuous,Pre,3/1/2022 10:56:00 PM,3/1/2022 12:35:00 AM,Turbidimeter,turb_other,,,,106,A1194,7/1/2023 7:00:00 PM,2/28/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.03,0,,,0.04,0,,,0.03,0,,,0.1,0,105.92,106,1410.9,1413,,,,,,,,,,,,,,,,,100.1,100.7,,1.05,,765.1,,7/5/2023 9:05:22 PM,cdfw_frpmt,7/5/2023 10:13:37 PM,cdfw_frpmt,,0,0
9,bfc31470-21a1-4b5f-8985-f70ff34d3f96,19C101553,,Continuous,Post,3/1/2022 8:30:00 PM,3/2/2022 7:43:00 PM,Turbidimeter,turb_other,,,,100.8,A1194,7/1/2023 7:00:00 PM,3/2/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.1,0,,,0,0,,,-0.03,0,,,0,0,100.94,100.8,1408.5,1413,,,,,,,,,,,,,,,,,100.8,100.3,,1.02,,762.5,,7/5/2023 9:15:33 PM,cdfw_frpmt,7/5/2023 10:14:28 PM,cdfw_frpmt,,0,0
10,79b6249e-1f6c-4ccc-8f12-68937692348d,19C101554,,Continuous,Post,3/1/2022 10:15:00 PM,3/2/2022 8:06:00 PM,Turbidimeter,turb_other,,,,100.8,A1194,7/1/2023 7:00:00 PM,3/2/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,1413C - DWR 28698,12/1/2022 7:00:00 PM,1/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.08,0,,,0,0,,,-0.05,0,,,-0.15,0,100.78,100.8,1412.7,1413,,,,,,,,,,,,,,,,,100.5,100.4,,1.05,,762.5,,7/5/2023 9:19:51 PM,cdfw_frpmt,7/5/2023 10:14:48 PM,cdfw_frpmt,,0,0
11,b7523f48-b4c5-4395-8bdc-5cf010bcf1bf,19C101552,,Continuous,Post,3/29/2022 7:15:00 PM,3/30/2022 9:51:00 PM,Turbidimeter,turb_other,,,,97.59,A1194,7/1/2023 7:00:00 PM,3/30/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,3/30/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.04,0,,,0.04,0,,,0.03,0,,,-0.1,0,96.47,97.68,1417,1413,,,,,,,,,,,,,,,,,99.6,100.2,,1.02,,761.5,,7/5/2023 9:26:03 PM,cdfw_frpmt,7/5/2023 10:15:28 PM,cdfw_frpmt,,0,0
12,82d6282f-8bfc-4b9a-82e0-02d7d2998e77,19C101551,,Continuous,Post,3/29/2022 8:40:00 PM,3/30/2022 9:36:00 PM,Turbidimeter,turb_other,,,,97.59,A1194,7/1/2023 7:00:00 PM,3/30/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,3/30/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.02,0,,,-0.02,0,,,-0.06,0,,,0.02,0,96.85,97.59,1425.7,1413,,,,,,,,,,,,,,,,,99.9,100.2,,1.05,,761.5,,7/5/2023 9:30:17 PM,cdfw_frpmt,7/5/2023 10:15:55 PM,cdfw_frpmt,,0,0
13,526a66fe-7683-4b53-8c43-27d146e39df8,19C101553,,Continuous,Pre,3/29/2022 10:40:00 PM,3/28/2022 11:23:00 PM,Turbidimeter,turb_other,,,,94.5,A1194,7/1/2023 7:00:00 PM,3/28/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,12890,VWR A8215,2/1/2020 7:00:00 PM,3/28/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.02,0,,,0,0,,,-0.01,0,,,0,0,95.06,94.5,13045.1,12890,,,,,,,,,,,,,,,,,99.1,99.2,,1.02,,753.9,,7/5/2023 9:39:21 PM,cdfw_frpmt,7/5/2023 10:16:27 PM,cdfw_frpmt,,0,0
14,98b58f5a-fce3-4201-8080-1009ddcba483,19C101554,,Continuous,Pre,3/29/2022 9:10:00 PM,3/28/2022 11:40:00 PM,Turbidimeter,turb_other,,,,94.5,A1194,7/1/2023 7:00:00 PM,3/28/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,3/28/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.01,0,,,0,0,,,-0.07,0,,,0.03,0,95.4,94.51,1427.6,1413,,,,,,,,,,,,,,,,,98.6,99.2,,1.05,,753.9,,7/5/2023 9:43:54 PM,cdfw_frpmt,7/5/2023 10:17:02 PM,cdfw_frpmt,,0,0
15,861bbdd9-a090-41b6-8a39-30d94f48ef4b,19C101553,,Continuous,Post,5/5/2022 2:34:00 PM,5/5/2022 10:45:00 PM,Turbidimeter,turb_other,,,,97.45,A1194,7/1/2023 7:00:00 PM,5/5/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,5/5/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.05,0,,,-0.02,0,,,0.09,0,,,0,0,97.31,97.45,1412.6,1413,,,,,,,,,,,,,,,,,98.2,100.1,,1.04,,760.3,,7/5/2023 9:59:47 PM,cdfw_frpmt,7/5/2023 10:17:36 PM,cdfw_frpmt,,0,0
16,dd72ae8f-6240-4153-836b-f298ea5758f6,19C101554,,Continuous,Post,5/4/2022 4:45:00 PM,5/4/2022 11:04:00 PM,Turbidimeter,turb_other,,,,95.48,A1194,7/1/2023 7:00:00 PM,5/4/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,5/4/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.07,0,,,-0.02,0,,,0.1,0,,,0.06,0,95.51,95.49,1415.7,1413,,,,,,,,,,,,,,,,,,99.8,,1.07,,758.5,,7/5/2023 10:06:46 PM,cdfw_frpmt,7/5/2023 10:06:46 PM,cdfw_frpmt,,0,0
17,48c54d6f-a961-4577-8c02-0bbbfd3176d0,19C101552,,Continuous,Pre,5/5/2022 3:02:00 PM,5/2/2022 9:39:00 PM,Turbidimeter,turb_other,,,,98.35,A1194,7/1/2023 7:00:00 PM,5/2/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,5/2/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.01,0,,,-0.01,0,,,0.05,0,,,-0.04,0,99.49,98.35,1416.6,1413,,,,,,,,,,,,,,,,,99.3,99.9,,1.02,,758.8,,7/5/2023 10:23:29 PM,cdfw_frpmt,7/5/2023 10:23:29 PM,cdfw_frpmt,,0,0
18,5bbe9d8d-e0b3-472b-8840-fe06b0c7f9d0,19C101551,,Continuous,Pre,5/4/2022 5:16:00 PM,5/2/2022 9:19:00 PM,Turbidimeter,turb_other,,,,98.35,A1194,7/1/2023 7:00:00 PM,5/2/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,5/2/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.02,0,,,0,0,,,0.04,0,,,-0.04,0,99.33,98.35,1414.8,1413,,,,,,,,,,,,,,,,,99.5,99.8,,1.05,,758.8,,7/5/2023 10:27:34 PM,cdfw_frpmt,7/5/2023 10:27:34 PM,cdfw_frpmt,,0,0
19,88cc5de9-7118-45e2-8096-751219340e31,19C101552,,Continuous,Post,6/6/2022 3:44:00 PM,6/6/2022 9:25:00 PM,Turbidimeter,turb_other,,,,92.54,A1194,7/1/2023 7:00:00 PM,6/3/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.03,0,,,-0.01,0,,,-0.03,0,,,0.05,0,93.2,92.54,1412,1413,,,,,,,,,,,,,,,,,98.1,99.7,,1.03,,757.7,,7/5/2023 10:32:31 PM,cdfw_frpmt,7/5/2023 10:32:31 PM,cdfw_frpmt,,0,0
20,a6db82af-2c24-405a-8c87-158c590a3273,19C101551,,Continuous,Post,6/6/2022 4:57:00 PM,6/6/2022 9:08:00 PM,Turbidimeter,turb_other,,,,92.54,A1194,7/1/2023 7:00:00 PM,6/3/2022 7:00:00 PM,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.03,0,,,-0.02,0,,,-0.02,0,,,0.02,0,92.24,92.54,1415.2,1413,,,,,,,,,,,,,,,,,98.8,99.6,,1.06,,757.7,,7/5/2023 10:36:44 PM,cdfw_frpmt,7/5/2023 10:36:44 PM,cdfw_frpmt,,0,0
21,d3d79b71-f9b3-4419-828a-1951234c5ab0,19C101553,,Continuous,Pre,6/6/2022 3:46:00 PM,6/3/2022 9:08:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A8299,4/1/2020 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0,0,,,0.01,0,,,-0.1,0,,,0.01,0,128.21,124,12896.2,12889.9,,,,,,,,,,,,,,,,,99.1,99.4,,1.05,,756.2,,7/5/2023 10:45:43 PM,cdfw_frpmt,7/5/2023 10:45:43 PM,cdfw_frpmt,First time calibrating Turbidity with YSI 124 standard,0,0
